행정구역(동읍면)별,2013. 01 월,2013. 02 월,2013. 03 월,2013. 04 월,2013. 05 월,2013. 06 월,2013. 07 월,2013. 08 월,2013. 09 월,2013. 10 월,2013. 11 월,2013. 12 월,2014. 01 월,2014. 02 월,2014. 03 월,2014. 04 월,2014. 05 월,2014. 06 월,2014. 07 월,2014. 08 월,2014. 09 월,2014. 10 월,2014. 11 월,2014. 12 월,2015. 01 월,2015. 02 월,2015. 03 월,2015. 04 월,2015. 05 월,2015. 06 월,2015. 07 월,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2019. 12 월
전국,50965180,50991003,51003843,51018468,51034494,51047880,51064841,51081507,51098531,51115702,51127984,51141463,51156168,51171176,51185882,51202130,51218424,51233579,51250261,51266779,51284774,51302044,51314683,51327916,51342881,51360454,51378174,51395238,51413925,51431100,51448183,51465228,51482816,51500986,51515399,51529338,51541582,51555409,51569536,51584349,51601265,51619330,51634618,51649552,51664244,51677054,51687682,51696216,51704332,51712221,51714935,51722903,51732586,51736224,51744948,51753820,51762492,51769092,51774649,51778544,51779148,51779892,51784669,51790131,51796179,51801449,51806977,51812153,51817851,51821881,51824477,51826059,51826287,51829538,51833175,51836763,51840339,51842636,51845612,51847538,51849253,51850705,51851427,51849861
서울특별시 ,10195064,10196434,10192057,10185955,10181807,10176560,10172002,10168997,10166691,10162099,10154180,10143645,10143164,10144173,10141727,10137313,10133734,10129223,10125912,10124243,10122661,10117909,10112156,10103233,10104515,10105206,10100987,10094889,10088393,10078850,10071654,10063197,10055027,10045027,10035597,10022181,10018537,10014261,10009588,10002979,9995784,9989795,9981673,9971111,9964291,9954791,9943333,9930616,9930478,9931412,9926968,9922745,9919016,9914381,9908612,9902072,9891448,9882810,9870167,9857426,9851767,9845336,9838892,9830452,9820971,9814049,9806538,9799075,9793003,9784112,9774088,9765623,9766288,9770638,9770216,9766886,9762062,9757144,9751415,9744888,9740398,9736289,9732577,9729107
서울특별시 종로구,164634,163881,162777,162281,161761,161485,161232,161137,161004,160882,160567,160070,159769,159749,159551,159309,159090,158821,158384,158167,158067,157774,157439,156993,156756,156574,156645,156410,156074,155695,155422,155265,155508,155433,155321,154986,154856,154950,155142,154919,154626,154365,154201,153961,153793,153581,153232,152737,152405,152398,153589,153937,154293,154408,154802,155035,155109,155103,154906,154770,154619,154509,154549,154312,154104,153780,153531,153401,153396,153296,153172,153065,152866,152880,152778,152495,152220,152026,151858,151766,151767,151541,151457,151290
서울특별시 중구,133155,132934,132652,132419,132281,132042,131745,131452,131085,130929,130794,130465,130275,130161,129940,129740,129643,129430,129236,129008,128930,128786,128454,128065,127961,127947,127843,127628,127191,126817,126533,126339,126257,126237,126034,125733,125602,125555,125765,125786,125580,125457,125454,125642,125635,125710,125572,125249,124976,124714,124312,124072,124064,123970,123926,124793,125332,125445,125580,125709,125786,125945,126082,125986,126152,126032,125941,125802,125815,125803,125760,125725,125872,125995,125942,125913,125808,126143,126414,126412,126409,126270,126209,126171
서울특별시 용산구,243048,242815,242630,242255,242019,241818,241583,241214,240927,240526,240147,239740,239744,239713,239381,239001,238920,238523,238051,237652,237302,236775,236248,235951,235838,235879,235723,235595,235442,235186,234936,234582,234347,233898,233729,233342,233069,232869,232684,232543,232389,232335,232242,231857,231528,231015,230593,230241,229997,229795,229456,229062,228865,228861,228766,228820,228960,229118,229058,229161,229541,229770,229909,229939,229896,229677,229545,229448,229391,229371,229341,228999,229167,229279,229168,228940,228926,229122,229155,229117,228830,228594,228507,228670
서울특별시 성동구,300628,301741,302038,302026,301787,301648,301384,301106,300734,300281,299954,299337,299146,299060,299416,299602,299521,299328,299039,298420,297952,297151,296705,296086,295959,295866,295901,296184,297297,298145,298215,298202,298249,297978,297548,297003,296888,296697,296575,296594,297195,297558,297618,297705,297615,296955,297210,299259,301040,302612,303380,303576,303818,304049,304236,304785,304879,304828,304860,304808,304955,305200,306532,307460,307630,308066,308519,309037,309251,309147,308773,308221,307723,307064,306404,305785,305436,304936,304292,303730,303158,302198,301527,300889
서울특별시 광진구,371406,371409,371170,370866,370545,370279,370109,369908,370036,369632,369388,368927,368666,368550,368325,367893,367391,366939,366308,365866,365356,364625,363892,363354,363182,363270,363136,362884,362622,362197,361940,361487,361173,360885,360663,360369,360132,360144,360083,359899,359494,359310,359117,358919,358744,358262,357726,357215,357303,357397,357211,357261,357128,357252,357419,357800,357743,357665,357773,357703,357785,357700,357149,356757,356176,355748,355352,355109,355032,355141,355555,355559,355382,355387,354873,354344,354158,353878,353206,353002,352692,352204,351699,351350
서울특별시 동대문구,363032,362966,362625,362380,363793,364718,365094,365227,365227,365167,364852,364273,364074,363781,363567,363331,362962,362413,361866,361417,362468,363467,363774,363687,363444,363597,363767,363641,363256,362604,362049,361680,361430,361143,360678,360153,360021,359878,359864,359488,358923,358218,357653,357027,356691,356286,355800,355069,354637,354403,354079,353898,353414,353031,352714,352391,352011,351732,351184,350647,350118,349901,349308,348916,348462,348903,349917,350587,350556,350134,349247,348052,347415,347459,346750,346312,346301,346501,346524,346649,346551,346152,346166,346194
서울특별시 중랑구,418971,418897,418569,418360,418430,418266,418022,417685,417482,417095,416571,416798,417299,418418,418475,418080,417986,418158,418754,419469,419463,419422,419372,418836,418629,418370,418250,418530,418474,417976,417174,416258,415474,414773,414486,413909,413844,413680,413605,413648,413621,413400,412936,412389,412223,411988,411659,411005,410731,410417,409882,409740,409786,410266,410565,410446,410109,409755,409059,408226,407731,407137,406868,406494,406102,405551,405118,404651,404313,403894,403544,403209,402974,402616,402203,401546,400933,400661,399878,399195,398812,397938,397297,397015
서울특별시 성북구,481521,481440,481651,481357,480931,480766,480439,480002,479537,478764,477800,476589,476341,476198,475951,475278,474557,473359,472334,471248,470326,469033,467996,466706,466354,466418,466228,465465,464738,464176,463497,462783,462149,461388,460424,459275,458855,458731,458450,458028,457364,456795,455724,454608,453684,452839,451781,450355,449708,450005,449773,449280,448763,448104,447730,447237,446457,445594,444804,444055,443297,442827,442226,441618,440937,440272,439292,438619,438031,437224,436514,435868,435270,435754,438245,439754,440082,440397,441170,441503,441590,443000,443111,442650
